0001	-1	20	40	DC
0002	-1	20	20	BC
0003	-1	20	10	NCC
0004	-1	20	65	TC
0005	-1	20	32	OC
0006	-1	20	28	TP
0007	-1	20	19	TAC
0008	-1	20	17	DC
0009	-1	20	14	DC
0010	-1	20	12	TP
0011	-1	20	50	DC
0012	-1	20	65	NCC
0013	-1	20	41	TAC
0014	-1	20	20	DC
0016	-1	20	19	DC
0017	-1	20	109	DC
0018	-1	20	72	BC
0019	-1	20	85	NCC
0020	-1	20	97	TC
0021	-1	20	95	OC
0022	-1	20	34	TP
0023	-1	20	35	TAC
0024	-1	20	39	DC
0025	-1	20	41	DC
0026	-1	20	46	TP
0027	-1	20	32	DC
0028	-1	20	21	NCC
0029	-1	20	25	TAC
0030	-1	20	48	DC
0031	-1	20	47	DC
