0001	-1	20	90	DC
0002	-1	20	70	DC
0003	-1	20	18	DC
0004	-1	20	75	TP
0005	-1	20	89	TAC
0006	-1	20	18	TP
0007	-1	20	95	TP
0008	-1	20	37	DC
0009	-1	20	74	TP
0010	-1	20	84	DC
0011	-1	20	15	DC
0012	-1	20	73	OC
0013	-1	20	61	TAC
0014	-1	20	90	BC
0015	-1	20	59	TP
0016	-1	20	29	BC
0017	-1	20	38	OCC
0018	-1	20	42	DC
0019	-1	20	65	OC
0020	-1	20	79	DC
0021	-1	20	24	TP
0022	-1	20	42	TP
0023	-1	20	54	TP
0024	-1	20	34	DC
0025	-1	20	42	DC
0026	-1	20	46	DC
0027	-1	20	47	TAC
0028	-1	20	42	DC
0029	-1	20	46	DC
0030	-1	20	13	TAC
0031	-1	20	67	TP
0032	-1	20	45	OCC
0033	-1	20	15	DC
0034	-1	20	95	OCC
0035	-1	20	82	DC
0036	-1	20	93	OCC
0037	-1	20	90	DC
0038	-1	20	41	DC
0039	-1	20	42	DC
0040	-1	20	43	DC
