0001	-1	20	40	DC
0002	-1	20	30	DC
0003	-1	20	20	NCC
0004	-1	20	65	DC
0005	-1	20	32	OC
0006	-1	20	72	TP
0007	-1	20	19	TP
0008	-1	20	67	DC
0009	-1	20	14	NCC
0010	-1	20	52	DC
0011	-1	20	35	TAC
0012	-1	20	78	NCC
0013	-1	20	71	OC
0014	-1	20	40	BC
0015	-1	20	30	DC
0016	-1	20	20	NCC
0017	-1	20	10	DC
0018	-1	20	45	DC
0019	-1	20	50	DC
0020	-1	20	16	TAC
0021	-1	20	53	DC
0022	-1	20	105	DC
0023	-1	20	98	DC
0024	-1	20	86	OC
0025	-1	20	46	OC
0026	-1	20	22	OC
0027	-1	20	56	DC
0028	-1	20	45	TP
0029	-1	20	64	DC
0030	-1	20	53	TP
0031	-1	20	24	DC
0032	-1	20	27	NCC
0033	-1	20	52	NCC
0034	-1	20	40	DC
0035	-1	20	25	NCC
0036	-1	20	46	DC
